E06000009,2543,6284
E06000018,6959,15427
E07000040,3306,5687
E07000008,3679,7495
E06000004,4479,6982
E06000025,7178,12843
E07000068,2715,6497
E06000022,5978,11566
E07000240,6092,14287
E09000016,7583,15098
W06000001,1130,1483
E07000007,7231,14279
E08000007,8917,20932
E07000043,1939,3520
E06000035,6628,12183
S12000020,1467,2525
E09000027,9933,18548
E08000016,4221,7554
E07000044,2691,4038
E07000071,4730,10396
E07000168,1980,3947
E07000192,2512,4939
E07000209,5661,10252
E07000037,2436,4392
E07000073,2277,4234
E08000009,8523,20660
E07000227,4565,9700
E09000009,16489,27889
E06000020,3913,5858
S12000035,1783,2535
E08000032,12988,21462
E07000207,6608,13585
E07000222,5252,11278
E06000047,9029,13465
E07000031,3812,5507
E06000041,6474,10476
E08000030,6397,10275
S12000046,15312,38971
E08000021,6953,12936
E07000147,2120,3249
E07000176,3156,6412
E07000223,1335,3031
E07000212,2860,6366
E07000200,2245,4195
E06000028,5388,12990
E07000045,3066,5871
E07000172,2257,4993
E07000195,2804,4609
E07000171,2772,4112
E07000049,2666,5073
E06000007,6067,24362
E07000242,4923,14258
E09000005,15106,28194
E06000050,9440,18126
E06000014,4635,9864
E06000051,8609,14664
E06000008,3921,6944
E09000031,10811,18726
E09000032,15129,29603
E07000078,3907,8916
E07000173,2253,3945
E06000037,5558,13388
E08000031,6496,11654
E09000004,7859,15039
E07000005,4512,8383
E09000019,12996,46835
S12000039,1302,1830
E07000150,1928,2839
E07000190,2448,5963
E08000018,5357,8677
E07000028,2106,4280
E07000103,4150,10801
E07000119,2065,8039
E06000031,5172,9013
E07000087,3107,6529
E07000163,1857,3053
S12000034,8083,10984
E08000026,8749,18402
W06000002,2338,3614
E07000065,4702,11337
E07000035,2604,4099
E09000010,11838,30015
E07000106,3475,7547
E07000011,5011,9432
E08000005,5047,8914
E08000028,7665,11752
E06000024,6305,10469
E07000039,2464,3476
E07000069,1639,5028
E07000029,1367,1777
E06000052,11924,19646
E07000111,4652,10384
E07000067,3862,7656
E07000167,1405,2006
E08000029,6601,12613
E07000153,2738,4777
E09000017,11746,23218
W06000015,12757,20851
W06000005,3333,5369
E06000016,9324,18758
E06000039,6205,10382
S12000029,5952,14336
N09000005,2564,3925
E07000239,2272,3992
E07000154,7058,13467
E07000113,3233,5169
E07000143,2625,4684
E07000038,2342,3162
E07000080,2202,3435
E06000054,13905,31792
E07000036,2334,4042
E06000021,5246,8118
E07000191,738,1000
W06000016,4242,7226
E06000055,5136,10120
E08000022,4329,7067
E07000108,2214,4022
E07000122,2126,3098
E07000141,3678,6491
E07000110,4914,9872
E08000034,11568,18841
E06000042,10698,19558
W06000010,3660,5530
S12000005,791,1105
E07000226,2713,5185
E06000033,4335,15414
E07000086,3655,8825
E08000001,7502,14963
E07000202,2960,5998
E07000070,4995,11147
E07000234,3327,9224
E08000015,6575,14725
E06000036,3599,6128
E07000205,3466,5438
E07000127,2999,5188
E07000219,2851,4639
E07000221,5081,9110
E07000165,5770,10400
N09000011,2398,3660
S12000019,1702,2424
E07000123,3662,8573
E07000214,3479,6762
E07000144,2903,5615
S12000017,5538,9029
