la,0-4,5-9,10-19,20-49,50-99,100-249,250+,,,,,,,,,,
E07000076,2681,239,154,106,28,12,44,,E07000076,3335,580,295,140,45,20,10,4425
E07000077,3235,263,156,100,43,29,35,,E07000077,4260,605,275,140,50,20,15,5365
E07000078,3992,324,190,133,47,23,56,,E07000078,4125,575,320,160,55,25,20,5280
E07000079,3549,251,194,120,40,16,47,,E07000079,4725,695,365,170,55,20,15,6045
E07000080,2258,194,141,68,30,7,30,,E07000080,3020,455,190,115,25,15,5,3825
E07000081,2780,243,152,78,40,28,25,,E07000081,2655,455,240,145,60,50,20,3625
E07000082,4111,366,176,145,46,26,56,,E07000082,4665,665,340,190,60,30,15,5965
E07000083,2977,240,145,91,51,18,39,,E07000083,3185,460,250,150,40,30,25,4140
E07000084,5885,473,266,170,54,44,54,,E07000084,6305,695,355,200,60,45,40,7700
E07000085,4258,368,222,138,49,30,53,,E07000085,5100,695,335,180,50,20,10,6390
E07000086,3827,320,191,128,37,22,29,,E07000086,4900,575,325,170,50,30,20,6070
E07000087,3157,296,155,125,47,22,39,,E07000087,3435,510,275,155,50,25,10,4460
E07000088,1346,121,89,47,18,14,21,,E07000088,1570,230,110,60,10,5,5,1990
E07000089,3875,322,159,102,50,19,28,,E07000089,4020,460,240,100,45,20,20,4905
E07000090,2633,242,133,82,22,22,35,,E07000090,3395,445,220,115,40,25,15,4255
E07000091,5205,503,282,165,61,39,64,,E07000091,6070,990,465,255,80,50,20,7930
E07000092,2632,180,148,79,19,18,12,,E07000092,2570,370,210,130,35,35,20,3370
E07000093,4142,322,190,121,42,36,26,,E07000093,4805,695,360,195,60,30,15,6160
E07000094,4839,422,221,130,37,42,47,,E07000094,5560,905,630,300,85,25,30,7535
E07000095,2851,260,158,107,30,19,35,,E07000095,3330,410,195,90,25,25,20,4095
E07000096,5712,448,270,177,56,36,37,,E07000096,6480,730,345,195,55,45,30,7880
E07000098,4839,420,221,169,57,29,36,,E07000098,6160,635,350,155,50,50,20,7420
E07000099,4457,389,204,165,46,30,30,,E07000099,5095,740,355,195,60,35,10,6490
E07000102,3992,313,165,112,42,26,37,,E07000102,4355,470,215,125,35,15,25,5240
E07000103,4102,352,236,133,44,28,39,,E07000103,3885,435,280,130,55,30,35,4850
E07000105,3799,334,205,154,36,19,43,,E07000105,4855,630,275,165,50,30,15,6020
E07000106,3439,287,163,140,39,26,43,,E07000106,4090,655,310,175,50,25,25,5330
E07000107,3579,329,193,159,29,32,32,,E07000107,3365,400,220,120,50,35,20,4210
E07000108,2219,168,131,71,35,18,14,,E07000108,2555,445,215,110,30,20,5,3380
E07000109,2951,306,191,109,42,19,25,,E07000109,3065,440,175,105,25,20,10,3840
E07000110,4971,424,259,175,67,28,39,,E07000110,5590,835,410,210,75,45,30,7195
E07000111,4814,431,207,134,33,19,44,,E07000111,5310,705,345,180,55,25,20,6640
E07000112,2569,214,114,92,25,28,21,,E07000112,2865,500,220,120,30,15,10,3760
E07000113,3256,301,175,110,23,21,37,,E07000113,3705,630,270,140,45,35,20,4845
E07000114,2639,212,145,88,29,14,36,,E07000114,2870,495,245,115,35,25,10,3795
E07000115,3911,329,190,118,37,19,46,,E07000115,4385,610,300,185,55,30,20,5585
E07000116,4337,413,207,141,46,32,30,,E07000116,5065,635,365,180,55,25,10,6335
E07000117,2070,176,133,71,32,19,33,,E07000117,1890,320,190,105,35,15,10,2565
E07000118,3036,264,169,93,29,9,36,,E07000118,3445,480,245,130,40,20,10,4370
E07000119,2154,182,88,70,21,11,21,,E07000119,2485,400,185,125,30,15,10,3250
E07000120,1590,182,107,67,15,16,25,,E07000120,1620,315,180,105,30,20,5,2275
E07000121,3071,282,155,121,26,25,53,,E07000121,3465,600,265,165,40,30,15,4580
E07000122,2079,217,117,93,36,18,30,,E07000122,2145,360,170,105,40,20,10,2850
E07000123,3592,359,197,142,56,33,36,,E07000123,3890,620,345,185,60,30,25,5155
E07000124,2140,191,138,84,25,21,28,,E07000124,2630,390,165,95,30,10,5,3325
E07000125,1990,196,110,71,18,22,21,,E07000125,2000,315,165,70,20,15,10,2595
E07000126,2527,247,121,110,29,15,35,,E07000126,2945,465,245,155,45,30,15,3900
E07000127,3039,282,168,95,37,21,47,,E07000127,3315,595,295,170,50,25,15,4465
E07000128,2336,176,118,88,25,18,32,,E07000128,3310,490,230,130,35,15,10,4220
E07000129,2646,211,148,82,37,9,18,,E07000129,3450,415,235,135,40,25,20,4320
E07000130,4152,413,232,145,60,30,62,,E07000130,6050,795,425,235,70,35,20,7630
E07000131,3165,282,151,99,22,19,35,,E07000131,4150,565,290,135,45,25,15,5225
E07000132,2931,273,170,98,25,16,50,,E07000132,3590,535,250,125,50,25,20,4595
E07000133,1279,110,72,57,12,5,15,,E07000133,1980,315,130,60,25,10,5,2525
E07000134,2854,253,135,98,35,28,44,,E07000134,3145,505,270,150,60,45,25,4200
E07000135,1534,148,85,50,9,12,25,,E07000135,1550,210,120,60,5,15,5,1965
E07000136,1307,112,65,49,18,9,19,,E07000136,1610,275,165,90,30,25,15,2210
E07000137,2846,256,184,95,40,22,44,,E07000137,4025,820,355,180,55,20,5,5460
E07000138,1903,187,106,74,19,11,15,,E07000138,1795,355,175,125,30,25,25,2530
E07000139,2648,198,127,89,19,19,30,,E07000139,3355,460,215,140,45,25,10,4250
E07000140,1990,175,91,78,19,4,12,,E07000140,3200,450,215,110,35,10,15,4035
E07000141,3725,315,182,138,53,28,53,,E07000141,4590,730,325,175,50,35,15,5920
E07000142,2405,217,134,75,30,15,30,,E07000142,2930,465,190,115,25,20,5,3750
E07000143,2517,296,151,102,32,19,43,,E07000143,3910,620,300,165,50,35,15,5095
E07000144,3040,236,163,106,29,16,35,,E07000144,4210,575,275,165,40,20,10,5295
E07000145,1764,159,103,68,19,16,36,,E07000145,2095,410,195,130,35,20,5,2890
E07000146,2739,228,114,89,44,19,40,,E07000146,4095,730,345,200,65,15,15,5465
E07000147,2107,208,130,57,26,21,43,,E07000147,3185,655,290,155,30,15,5,4335
E07000148,3053,308,163,116,32,26,40,,E07000148,3175,650,360,220,70,60,40,4575
E07000149,3306,299,177,107,32,25,42,,E07000149,4520,625,280,145,50,25,20,5665
E07000150,1926,170,113,67,25,15,22,,E07000150,1720,250,140,80,30,20,10,2250
E07000151,2980,247,149,120,33,26,36,,E07000151,3675,470,240,115,40,15,5,4560
E07000152,2567,203,121,92,28,14,26,,E07000152,3170,420,180,105,25,20,10,3930
E07000153,2805,250,144,82,30,21,28,,E07000153,3085,365,185,120,35,20,15,3825
E07000154,6892,638,393,268,105,51,56,,E07000154,7310,865,470,275,105,65,50,9140
E07000155,3189,267,127,81,35,18,28,,E07000155,4305,555,255,135,30,20,10,5310
E07000156,2297,230,106,82,30,14,47,,E07000156,2500,380,195,130,40,25,10,3280
E07000163,1874,165,100,64,35,9,36,,E07000163,2870,395,205,105,30,15,5,3625
E07000164,2735,205,142,110,30,15,43,,E07000164,4160,660,320,150,40,15,10,5355
E07000165,5831,474,254,205,78,32,78,,E07000165,7150,1070,485,240,95,50,35,9125
E07000166,1408,133,75,42,14,18,26,,E07000166,2145,330,165,90,25,5,0,2760
E07000167,1414,116,72,57,29,11,35,,E07000167,2785,455,215,110,15,20,10,3610
E07000168,1906,183,138,57,33,16,40,,E07000168,2915,675,330,170,20,15,10,4135
E07000169,2426,205,123,82,26,16,22,,E07000169,3030,410,195,95,30,10,10,3780
E07000170,1846,180,125,77,23,15,30,,E07000170,2100,375,210,110,40,35,20,2890
E07000171,2739,253,163,74,35,28,32,,E07000171,3070,525,265,120,50,15,10,4055
E07000172,2332,211,117,49,29,15,32,,E07000172,2715,365,175,100,25,20,15,3415
E07000173,2275,205,130,84,21,16,26,,E07000173,2720,385,195,85,30,15,15,3445
E07000174,1807,162,82,70,22,9,22,,E07000174,2040,340,185,115,30,25,10,2745
E07000175,2891,273,172,103,25,26,32,,E07000175,3755,580,285,155,50,20,5,4850
E07000176,3294,275,168,120,32,32,29,,E07000176,4370,555,270,125,45,20,15,5400
E07000177,4291,376,198,114,47,33,49,,E07000177,5205,700,390,240,65,50,20,6670
E07000178,3897,350,194,120,67,28,42,,E07000178,3535,600,360,185,75,75,35,4865
E07000179,5506,431,280,190,57,36,50,,E07000179,6560,870,435,215,75,35,20,8210
E07000180,4057,348,205,110,37,18,42,,E07000180,4445,665,330,190,55,40,35,5760
E07000181,3628,326,193,105,42,23,30,,E07000181,4370,690,315,155,35,35,20,5620
E07000187,3214,270,179,110,29,28,39,,E07000187,4465,670,365,175,50,25,10,5760
E07000188,2490,222,130,88,23,19,32,,E07000188,3775,640,255,155,40,15,10,4890
E07000189,3709,294,222,135,42,25,56,,E07000189,5640,785,385,245,70,35,15,7175
E07000190,2437,208,154,88,33,21,46,,E07000190,3690,545,260,165,50,20,30,4760
E07000191,743,57,39,32,11,7,22,,E07000191,1390,235,90,45,10,5,0,1775
E07000192,2543,214,144,107,30,11,29,,E07000192,2540,460,225,125,25,15,10,3400
E07000193,3173,264,170,118,46,15,44,,E07000193,3690,550,255,155,40,20,20,4730
E07000194,3754,305,200,121,40,29,37,,E07000194,3895,640,285,160,50,35,25,5090
E07000195,2800,240,147,114,30,15,33,,E07000195,2695,455,235,125,45,15,20,3590
E07000196,3119,261,163,88,33,26,42,,E07000196,3295,525,200,125,35,10,10,4200
E07000197,3949,357,224,109,37,25,32,,E07000197,4140,610,285,165,50,40,15,5305
E07000198,2391,175,127,88,33,26,28,,E07000198,3365,485,185,95,20,10,5,4165
E07000199,1776,155,99,74,21,14,22,,E07000199,1750,285,160,90,30,15,5,2335
E07000200,2297,193,112,84,22,18,25,,E07000200,3195,485,225,120,45,20,10,4100
E07000201,1383,124,62,57,11,12,9,,E07000201,1830,345,170,95,35,10,5,2490
E07000202,2933,243,161,120,28,16,32,,E07000202,2970,540,275,155,60,35,30,4065
E07000203,2672,218,135,91,32,19,35,,E07000203,3810,560,255,145,50,20,15,4855
E07000204,2634,235,135,85,42,14,29,,E07000204,3400,610,280,175,60,20,20,4565
E07000205,3530,326,193,109,53,32,60,,E07000205,4190,750,360,185,40,25,15,5565
E07000206,2149,154,112,84,21,28,28,,E07000206,2835,500,235,125,30,25,10,3760
E07000207,6959,499,320,201,75,44,62,,E07000207,7370,720,370,170,65,40,25,8760
E07000208,3038,201,128,79,37,18,32,,E07000208,3115,290,150,80,15,20,15,3685
E07000209,5843,491,295,172,72,32,50,,E07000209,5870,825,380,220,85,35,25,7440
E07000210,4005,302,190,117,35,22,32,,E07000210,4335,570,245,140,50,30,25,5395
E07000211,5307,397,266,175,60,32,56,,E07000211,5850,660,330,165,45,30,25,7105
E07000212,2896,236,148,112,25,21,16,,E07000212,3385,420,220,110,50,45,35,4265
E07000213,3375,305,162,98,36,18,35,,E07000213,3800,415,190,95,40,20,15,4575
E07000214,3644,260,168,142,35,28,35,,E07000214,3810,425,245,125,45,35,25,4710
E07000215,3673,312,161,99,43,29,19,,E07000215,4015,525,230,105,35,15,10,4935
E07000216,5656,417,215,165,57,36,51,,E07000216,6685,805,415,185,50,45,15,8200
E07000217,4057,330,187,121,53,32,51,,E07000217,4125,465,245,145,55,30,25,5090
E07000218,2060,196,117,75,21,11,26,,E07000218,2145,365,175,100,35,20,15,2855
E07000219,2814,259,183,95,29,23,29,,E07000219,2840,395,235,125,35,20,15,3665
E07000220,3388,294,159,123,42,18,32,,E07000220,4210,435,215,125,40,25,25,5075
E07000221,5168,441,246,169,64,25,71,,E07000221,6500,845,460,235,65,35,15,8155
E07000222,5446,435,267,161,62,40,54,,E07000222,6205,755,400,225,70,40,40,7735
E07000223,1342,112,82,42,16,8,12,,E07000223,1815,265,140,75,15,10,5,2325
E07000224,3278,256,159,113,53,33,35,,E07000224,4175,655,295,170,50,15,5,5365
E07000225,4036,323,214,140,35,33,43,,E07000225,5225,760,345,205,60,35,15,6645
E07000226,2727,242,123,100,18,26,30,,E07000226,2590,370,225,130,50,35,35,3435
E07000227,4769,383,189,149,64,23,43,,E07000227,6040,805,395,210,60,20,15,7545
E07000228,5014,432,219,170,49,28,64,,E07000228,5890,765,405,190,60,30,20,7360
E07000229,2350,221,130,92,35,22,25,,E07000229,2860,420,230,105,40,25,15,3695
E07000234,3476,284,154,125,39,21,29,,E07000234,5325,1110,495,165,45,25,20,7185
E07000235,2807,232,117,88,28,33,37,,E07000235,3440,465,195,115,35,15,10,4275
E07000236,2216,208,134,81,21,21,40,,E07000236,2065,330,205,110,45,30,20,2805
E07000237,2335,242,130,86,22,9,25,,E07000237,2300,380,205,125,30,20,25,3085
E07000238,4277,326,222,131,33,33,47,,E07000238,5100,715,335,170,55,35,20,6430
E07000239,2319,182,127,84,36,12,21,,E07000239,2695,420,200,105,30,20,10,3480
E07000240,6426,489,331,172,64,44,42,,E07000240,7805,835,410,185,65,45,30,9375
E07000241,4058,348,221,123,32,39,29,,E07000241,4010,505,240,145,55,25,35,5015
E07000242,5076,378,257,198,42,33,50,,E07000242,8210,1165,460,195,75,50,15,10170
E07000243,2325,194,144,103,37,19,22,,E07000243,2590,290,140,80,20,15,15,3150
E08000001,7298,711,468,287,64,43,89,,E08000001,6950,1090,575,295,105,60,35,9110
E08000002,5084,461,296,187,43,37,42,,E08000002,6120,1050,485,215,70,20,20,7980
E08000003,16874,1723,996,691,208,135,187,,E08000003,17545,2345,1350,710,270,150,115,22485
E08000004,4929,468,306,177,61,51,46,,E08000004,5290,870,465,230,70,45,25,6995
E08000005,4855,485,278,152,70,44,62,,E08000005,5165,735,400,255,70,40,25,6690
E08000006,6610,642,438,263,88,56,56,,E08000006,6765,945,525,320,100,45,40,8740
E08000007,9027,810,471,308,109,71,68,,E08000007,9135,1300,685,330,120,50,45,11665
E08000008,4298,410,250,163,51,28,57,,E08000008,4690,750,380,235,60,35,15,6165
E08000009,8611,694,475,329,100,42,88,,E08000009,9430,1165,610,345,135,70,70,11825
E08000010,6624,588,373,239,62,40,65,,E08000010,6795,1060,565,280,80,45,30,8855
E08000011,2487,250,135,84,29,15,26,,E08000011,2525,375,210,120,40,35,20,3325
