E07000190,1233,5963,4730
E07000191,-775,1000,1775
W06000001,-1007,1483,2490
W06000002,-1701,3614,5315
W06000003,-650,3725,4375
W06000004,-370,3270,3640
W06000005,249,5369,5120
W06000006,114,4179,4065
W06000023,-4026,4659,8685
W06000008,-1986,2029,4015
W06000009,-1522,3998,5520
W06000010,-2170,5530,7700
W06000011,2646,8891,6245
W06000012,118,3128,3010
W06000013,1125,4770,3645
W06000014,538,4783,4245
W06000015,9676,20851,11175
W06000016,1251,7226,5975
W06000024,14,1324,1310
W06000018,-245,3690,3935
W06000019,-98,1117,1215
W06000020,32,2122,2090
W06000021,-280,4140,4420
W06000022,1801,5886,4085
S12000033,5646,14281,8635
S12000034,-2986,10984,13970
S12000041,-225,3705,3930
S12000035,-1330,2535,3865
S12000036,26707,45132,18425
S12000005,-20,1105,1125
S12000006,-3173,3092,6265
S12000042,2753,6048,3295
S12000008,-135,3080,3215
S12000045,-87,2918,3005
S12000010,-257,2868,3125
S12000011,802,3482,2680
S12000014,644,4399,3755
S12000015,671,10216,9545
S12000046,21031,38971,17940
S12000017,-1701,9029,10730
S12000018,251,1926,1675
S12000019,74,2424,2350
S12000020,-660,2525,3185
S12000013,-261,899,1160
S12000021,-476,2814,3290
S12000044,869,8299,7430
S12000023,-841,629,1470
S12000024,-944,5176,6120
S12000038,1563,6098,4535
S12000026,-1636,3399,5035
S12000027,-560,925,1485
S12000028,628,4178,3550
S12000029,5426,14336,8910
S12000030,156,4026,3870
S12000039,5,1830,1825
S12000040,299,4839,4540
