la,0-4,5-9,10-19,50-99,100-249,250+
E08000037,2835,645,375,225,90,40
E09000001,9275,2065,1415,840,335,240
E09000002,3065,395,215,105,45,15
E09000003,14645,1725,760,320,100,55
E09000004,4970,695,330,185,45,40
E09000019,9880,1580,935,510,180,100
E09000005,9035,1220,575,245,90,60
E09000006,9405,1175,555,265,115,55
E09000007,16330,2800,1495,870,315,195
E09000008,8845,1135,505,270,95,60
E09000009,10460,1400,605,335,105,70
E09000010,7460,1040,435,245,65,40
E09000011,5345,540,315,140,45,30
E09000012,8890,1300,690,305,95,50
E09000013,8190,1155,600,315,135,65
E09000014,7225,850,400,165,50,25
E09000015,8675,980,440,190,80,35
E09000016,5490,860,365,210,60,50
E09000017,7400,995,510,305,145,85
E09000018,8085,1025,495,245,105,65
E09000020,8220,1325,720,360,120,60
E09000033,28635,6240,3685,1850,700,410
S12000005,690,145,85,30,5,5
E09000021,5410,695,325,170,55,35
S12000006,4250,980,420,165,35,20
S12000008,1985,415,190,85,25,15
S12000010,1990,385,195,95,20,5
E09000022,11285,995,500,295,80,50
E09000023,5795,625,250,135,35,25
S12000011,1725,275,120,55,10,10
S12000013,795,140,75,30,5,0
S12000014,2350,420,230,100,40,30
S12000015,5575,1270,595,315,90,40
S12000017,7475,1370,665,285,75,40
S12000018,1040,205,105,45,25,10
S12000019,1370,290,155,95,25,10
S12000020,2155,395,195,110,25,10
S12000021,1955,460,190,95,20,15
S12000023,1090,150,75,50,10,0
S12000024,3945,850,415,180,50,30
S12000026,3405,765,290,130,25,25
S12000027,990,170,105,45,10,10
S12000028,2180,505,225,110,50,15
S12000029,5450,1050,550,245,75,45
S12000030,2600,465,220,110,30,15
E09000024,6860,770,380,225,80,30
E09000025,5070,710,290,140,45,25
E09000026,7615,855,390,205,45,25
E09000027,9205,1045,460,220,60,45
S12000033,6100,850,635,365,165,80
S12000034,10455,1440,710,350,95,40
S12000035,2695,575,245,90,20,15
S12000036,11040,2070,1105,550,185,110
S12000038,2730,580,315,145,60,25
S12000039,1050,240,100,70,20,10
S12000040,2690,535,280,150,50,35
E09000028,8820,1290,860,475,185,95
S12000041,2550,525,250,115,30,15
E09000029,5090,665,310,180,55,30
W06000016,3050,620,315,155,60,25
W06000018,2295,480,245,125,45,30
W06000019,675,175,75,35,10,10
W06000020,1170,285,155,80,15,15
W06000021,3045,480,200,100,25,15
W06000022,2230,435,230,125,40,25
W06000023,6860,915,345,160,40,20
W06000024,670,160,85,40,10,5
E09000030,8870,1275,615,385,135,100
E09000031,5610,705,350,125,55,20
E09000032,11445,1160,555,270,80,45
S12000042,1790,505,260,170,45,25
S12000044,4170,925,470,230,80,50
S12000045,1920,305,135,75,15,10
S12000046,9745,2290,1395,690,245,145
W06000001,1770,315,110,65,15,5
W06000002,3770,680,315,130,40,20
W06000003,2845,550,250,145,35,20
W06000004,2330,480,230,125,25,10
W06000005,3175,625,300,170,55,25
W06000006,2590,505,250,120,35,20
W06000008,3125,435,175,85,20,10
W06000009,3905,730,295,140,35,15
W06000010,5580,795,335,155,50,15
W06000011,3715,865,385,225,70,40
W06000012,1750,410,195,110,30,20
W06000013,2180,480,230,140,35,20
W06000014,2610,480,210,100,25,15
W06000015,6065,1295,695,345,130,80
