E07000143,-411,4684,5095,3910,620,300,165,50,35,15
E07000144,320,5615,5295,4210,575,275,165,40,20,10
E07000145,223,3113,2890,2095,410,195,130,35,20,5
E07000146,-385,5080,5465,4095,730,345,200,65,15,15
E07000147,-1086,3249,4335,3185,655,290,155,30,15,5
E07000148,3674,8249,4575,3175,650,360,220,70,60,40
E07000149,-757,4908,5665,4520,625,280,145,50,25,20
E07000200,95,4195,4100,3195,485,225,120,45,20,10
E07000201,-171,2319,2490,1830,345,170,95,35,10,5
E07000202,1933,5998,4065,2970,540,275,155,60,35,30
E07000203,74,4929,4855,3810,560,255,145,50,20,15
E07000204,1088,5653,4565,3400,610,280,175,60,20,20
E07000205,-127,5438,5565,4190,750,360,185,40,25,15
E07000206,355,4115,3760,2835,500,235,125,30,25,10
E09000007,57204,86644,29440,22860,3085,1665,1010,370,255,195
E09000001,43311,67731,24420,18260,2460,1775,975,430,275,245
E09000012,37513,56508,18995,15715,1630,940,475,135,65,35
E09000013,8065,20820,12755,10305,1160,650,335,165,80,60
E09000014,9537,21687,12150,10405,1005,445,210,45,30,10
E09000019,28350,46835,18485,14480,1855,1100,625,200,125,100
E09000020,7882,21097,13215,10360,1435,770,400,130,70,50
E09000022,5333,20093,14760,12500,1100,630,345,90,50,45
E09000023,5049,15029,9980,8755,710,310,130,35,25,15
E09000025,10527,22562,12035,10515,865,395,160,50,25,25
E09000028,13846,30366,16520,12900,1550,1010,615,215,135,95
E09000030,19192,36032,16840,13610,1590,805,470,170,110,85
E09000032,12163,29603,17440,15090,1285,600,280,100,40,45
E09000033,84670,132540,47870,33890,6460,3920,2010,765,440,385
E09000002,5014,11799,6785,5810,525,255,120,40,25,10
E09000003,43537,66602,23065,19740,1915,835,350,125,70,30
E09000004,6179,15039,8860,7410,740,375,200,75,40,20
E09000005,13259,28194,14935,12410,1400,635,280,95,65,50
E09000006,7836,22951,15115,12720,1305,560,325,115,55,35
E09000008,19695,34520,14825,12505,1255,600,265,110,55,35
E09000009,10004,27889,17885,14945,1585,760,360,130,65,40
E09000010,17050,30015,12965,10785,1215,540,270,95,40,20
E09000011,6087,16042,9955,8705,640,350,160,50,30,20
E09000015,22931,37126,14195,12280,1075,480,220,75,40,25
E09000016,5303,15098,9795,8070,950,435,190,80,50,20
E09000017,10058,23218,13160,10770,1160,550,340,155,100,85
E09000018,7480,20805,13325,11115,1120,560,265,120,75,70
E09000021,4136,12606,8470,7140,670,345,190,55,35,35
