E07000084,1009,7509,6500
E07000085,561,6451,5890
E07000103,2410,5740,3330
E07000105,1254,6324,5070
E07000106,1371,5901,4530
E07000107,1801,4761,2960
E07000108,692,3572,2880
E07000109,1134,3839,2705
E07000110,1351,7461,6110
E07000111,2419,8239,5820
E07000112,3371,6471,3100
E07000113,20,3955,3935
E07000114,542,3577,3035
E07000115,1484,6204,4720
E07000116,2463,8053,5590
E07000117,100,2255,2155
E07000118,487,4117,3630
E07000119,2027,4872,2845
E07000120,89,2139,2050
E07000121,-42,3928,3970
E07000122,-32,2418,2450
E07000123,2245,6530,4285
E07000124,-241,2709,2950
E07000125,-19,2266,2285
E07000126,102,3437,3335
E07000127,211,4081,3870
E07000128,-378,3292,3670
E07000129,375,3915,3540
E07000130,678,5828,5150
E07000131,-43,4387,4430
E07000132,-647,3228,3875
E07000133,-598,1577,2175
E07000134,333,3918,3585
E07000135,62,1607,1545
E07000136,-335,1615,1950
E07000137,-1912,3233,5145
E07000138,1344,3424,2080
E07000139,-2,3903,3905
E07000140,-451,2724,3175
E07000141,-12,5043,5055
E07000142,-528,2732,3260
E07000143,-936,3599,4535
E07000144,-155,4095,4250
E07000145,-112,2518,2630
E07000146,-888,3982,4870
E07000147,-1355,2655,4010
E07000148,1892,5667,3775
E07000149,-1214,3711,4925
E07000150,209,1624,1415
E07000151,88,4013,3925
E07000152,-9,3356,3365
E07000153,475,3445,2970
E07000154,3158,9373,6215
E07000155,-456,4174,4630
E07000156,610,3280,2670
E07000163,-815,2335,3150
E07000164,-1715,3050,4765
E07000165,553,8478,7925
E07000166,-1037,1473,2510
E07000167,-1495,1795,3290
E07000168,-555,3255,3810
E07000169,-745,2405,3150
E07000170,-144,2276,2420
E07000171,-255,3105,3360
E07000172,620,3295,2675
E07000173,8,2923,2915
E07000174,331,2581,2250
E07000175,-771,3354,4125
E07000176,700,4875,4175
E07000177,710,6680,5970
E07000192,1162,4152,2990
E07000178,2265,6290,4025
E07000179,74,7269,7195
E07000180,149,5219,5070
E07000181,577,5667,5090
E07000187,-722,4363,5085
E07000188,-675,3745,4420
E07000189,-995,5505,6500
E07000190,540,4690,4150
E07000191,-851,804,1655
E07000193,424,4369,3945
E07000194,897,5047,4150
E07000195,489,3504,3015
E07000196,8,3698,3690
E07000197,-530,4075,4605
E07000198,-1285,2400,3685
E07000199,414,2379,1965
E07000200,-355,3475,3830
E07000201,-516,1654,2170
