5224,1037,455
5225,32,0
5226,8,0
5227,31,0
5229,6736,5245
5231,23,0
5232,9,0
5233,4,0
5241,11,0
5242,150,0
5243,21,0
5244,115,0
5245,77,0
5246,27,0
5247,20,0
5248,163,0
5250,15,0
5261,20,0
5262,1,0
5263,62,0
5271,2,0
5272,9,0
5273,2,0
5274,28,0
5310,1328,2085
5320,7240,17730
5510,10900,9600
5511,3,0
5520,3224,4340
5521,2,0
5522,5,0
5523,13,0
5530,1900,2050
5540,306,0
5551,3,0
5552,96,0
5590,9051,930
5610,66211,84450
5621,8088,8660
5629,13177,2095
5630,20895,38170
5811,5934,2230
5812,357,165
5813,889,435
5814,3281,2725
5819,9678,3680
5821,894,250
5829,3606,2190
5911,31754,19175
5912,2771,2965
5913,1505,625
5914,397,255
5920,9809,3285
6010,1443,890
6020,2558,1115
6021,19,0
6022,66,0
6023,28,0
6024,384,0
6030,1,0
6110,3026,1700
6120,2731,1465
6130,670,150
6190,10687,5115
6201,43149,32455
6202,118425,108460
6203,3690,760
6209,53773,19090
6210,17,0
6220,14,0
6311,4753,3115
6312,4855,1275
6321,13,0
6322,6,0
6323,10,0
6330,72,0
6340,51,0
6391,676,615
6399,20490,2835
6411,187,0
6412,29,0
6419,1907,640
6420,26854,7340
6430,4731,1455
6491,1395,260
6492,3844,1115
6499,29732,4775
6511,2233,260
6512,4653,680
6520,213,20
6521,17,0
6522,20,0
6523,274,0
6530,1186,5830
6601,46,0
6602,2,0
6603,47,0
6611,1420,370
6612,1233,1095
6619,7186,22355
6621,888,700
6622,5442,4110
6629,3776,2810
6630,2749,1895
6711,6,0
6712,15,0
6713,11,0
6720,1,0
6810,53255,3980
6820,98981,53175
6831,18145,20320
6832,39046,15705
6910,15322,32985
6920,47940,43700
7010,32829,5110
7011,1281,0
7012,202,0
7020,357,0
7021,7094,4635
7022,169480,175290
7031,100,0
7032,116,0
7110,20,0
7111,16473,16330
7112,42432,79525
7120,4788,6340
7121,3,0
7122,2,0
7123,1,0
7131,6,0
7132,8,0
7133,13,0
7134,37,0
7140,3,0
7210,89,0
7211,2391,850
7219,5282,4075
7220,1417,505
7221,28,0
7222,200,0
7230,9,0
7240,22,0
7250,26,0
7260,320,0
7310,35,0
7311,15754,16675
7312,6399,3195
7320,3541,3345
7410,18526,22800
7411,85,0
7412,133,0
7413,19,0
7414,580,0
7415,495,0
7420,7265,8135
7430,1935,1580
7440,135,0
7450,271,0
7460,89,0
7470,77,0
7481,40,0
7482,25,0
7483,1,0
7484,37,0
7485,2,0
7486,14,0
7487,3704,0
7490,80717,49930
7499,80671,0
7500,4338,3825
7511,6,0
7512,4,0
7514,2,0
7522,1,0
7523,2,0
7524,10,0
7525,5,0
7711,4036,3350
7712,719,950
7721,528,1110
7722,15,80
7729,1063,1305
7731,279,440
7732,2468,4100
7733,435,460
7734,231,255
7735,285,295
7739,4163,4320
7740,806,750
7810,18973,14825
7820,9929,11145
7830,7176,1910
7911,6348,4700
7912,3425,1920
7990,4045,1535
8010,7492,5660
8020,4730,2190
8021,20,0
8022,4,0
8030,1524,840
8041,6,0
8042,73,0
8110,6002,2985
8121,6068,11350
8122,4639,3205
8129,4825,5185
8130,9147,18310
8211,9667,4525
8219,1094,1920
8220,1172,950
8230,2973,3885
8291,522,785
8292,1118,2985
8299,257307,109965
8411,1103,6800
8412,725,185
8413,242,30
8421,52,0
8422,484,25
8423,159,15
8424,1461,60
8425,592,35
8430,29,0
8510,6802,3980
8511,24,0
8512,32,0
8513,11,0
8514,90,0
8520,4713,4665
8531,5358,3100
8532,3407,2125
8541,951,755
8542,1697,895
8551,3304,3280
8552,3076,1385
8553,1424,1515
8559,21849,22150
8560,11460,4450
8610,24159,4790
8621,18004,19810
8622,14030,4680
8623,9572,12005
8690,56723,25155
8710,3271,3170
8720,2121,815
8730,4203,4185
8790,3356,3820
8810,4519,6950
8891,3283,13605
8899,17037,21115
9000,3,0
9001,9718,9570
9002,7828,3285
9003,17928,15965
9004,2828,865
9101,635,325
9102,863,670
9103,767,420
9104,283,380
9111,5,0
9112,17,0
9120,1,0
9131,5,0
9133,18,0
9200,1885,1160
9211,50,0
9212,5,0
9213,7,0
9220,20,0
9231,91,0
9232,6,0
9233,4,0
9234,60,0
9240,2,0
9251,3,0
9252,4,0
9253,1,0
9261,46,0
9262,40,0
9271,27,0
9272,54,0
9301,19,0
9302,80,0
9303,4,0
9304,11,0
9305,740,0
9311,4432,4535
9312,5869,9075
9313,5402,2715
9319,15491,8015
9321,458,455
9329,12529,5795
9411,2000,1395
9412,2242,2155
9420,58,315
9491,3997,10395
9492,191,810
9499,8482,6615
9500,5,0
9511,2333,4115
9512,329,585
9521,378,665
9522,764,1110
9523,213,535
9524,486,745
9525,245,355
9529,418,720
9600,3,0
9601,2636,4355
9602,24498,41450
9603,2001,1795
9604,4200,1800
9609,107768,25785
9700,1000,0
9800,78062,0
9810,713,0
9820,803,0
9900,1186,5
9999,161684,0
