E06000050,Cheshire West and Chester,995,655,"1,345",395,485,925,510,690,"1,005",310,475,"3,140","1,295",75,235,620,870,1,E06000050,185,901,1817,298,378,874,491,545,1416,514,894,3378,1727,27,303,534,1290
E06000051,Shropshire,"3,330",875,"1,680",505,670,975,460,940,640,185,510,"2,065","1,030",105,240,575,865,1,E06000051,410,1027,1457,318,460,708,318,543,1033,268,768,2253,972,19,242,474,1661
E06000052,Cornwall,"4,210","1,440","3,170",725,705,"2,050",630,"2,290",770,245,725,"2,405","1,510",155,345,880,"1,375",1,E06000052,372,1514,2268,346,425,1153,364,1251,1236,352,1175,2462,1228,27,432,584,1973
E06000053,Isles of Scilly,45,10,20,0,0,20,20,50,5,0,5,5,10,0,5,0,10,1,E06000053,2,4,5,1,2,5,5,8,2,,5,5,5,,1,1,9
E06000054,Wiltshire,"2,140","1,250","2,665",700,770,"1,320",610,"1,100","1,855",415,745,"4,770","2,650",155,"2,120",850,"1,505",1,E06000054,498,1580,2289,471,496,1194,554,743,2369,497,1115,4238,2392,57,2149,650,2179
E06000055,Bedford,250,360,845,340,325,455,325,325,565,135,240,"1,265",525,25,150,385,445,1,E06000055,81,534,1000,303,280,428,339,278,866,222,506,1449,777,6,192,517,850
E06000056,Central Bedfordshire,455,785,"2,030",405,520,695,600,520,"1,105",230,300,"2,960","3,565",55,320,380,755,1,E06000056,106,872,1693,283,338,582,498,357,1600,244,564,2500,1436,12,238,412,1121
E06000057,Northumberland,"1,885",660,"1,280",345,320,865,345,970,435,120,315,"1,535",785,90,165,440,735,1,E06000057,247,764,1012,197,210,521,228,521,591,175,517,1471,713,15,236,241,922
E07000004,Aylesbury Vale,695,540,"1,170",315,390,485,330,340,970,150,320,"2,035",975,65,185,360,575,1,E07000004,93,670,988,207,291,445,292,246,1520,203,449,2289,1167,10,176,498,936
E07000005,Chiltern,135,240,725,135,235,365,115,180,820,135,225,"1,695",520,15,130,230,440,1,E07000005,43,347,686,112,188,330,109,215,1027,166,513,1872,687,4,151,257,701
E07000006,South Bucks,70,185,555,120,200,265,165,185,620,110,410,"1,210",475,10,90,215,375,1,E07000006,33,344,705,125,198,265,176,203,909,194,599,1442,811,2,101,295,843
E07000007,Wycombe,195,555,"1,150",260,445,505,265,335,"1,205",155,285,"2,160",840,25,195,365,640,1,E07000007,54,771,1082,223,426,522,273,320,1631,261,796,2783,1260,10,219,424,1302
E07000008,Cambridge,105,180,320,45,115,305,55,360,770,85,175,"1,195",385,0,200,270,405,1,E07000008,56,292,372,41,118,262,54,262,1050,187,515,1498,539,13,309,271,656
E07000009,East Cambridgeshire,465,255,640,155,175,195,165,160,280,45,115,615,310,30,65,110,280,1,E07000009,148,300,451,74,117,161,106,102,349,80,199,639,327,2,71,95,294
E07000010,Fenland,420,260,615,165,165,250,250,200,130,35,90,335,220,15,45,90,190,1,E07000010,119,266,492,119,122,159,165,103,210,57,116,344,231,6,49,78,239
E07000011,Huntingdonshire,510,545,"1,055",260,370,425,330,330,660,120,250,"1,340",610,60,125,300,475,1,E07000011,112,686,862,187,255,387,281,252,835,184,454,1448,1029,13,120,287,970
E07000012,South Cambridgeshire,555,525,950,200,350,365,175,275,885,105,270,"1,795",650,70,180,335,445,1,E07000012,178,902,854,152,201,336,172,232,1271,191,425,2156,727,4,214,361,716
E07000026,Allerdale,"1,075",225,525,115,80,270,125,425,80,80,90,555,340,45,75,135,260,1,E07000026,110,216,527,78,55,189,88,260,90,40,162,631,493,3,68,88,336
E07000027,Barrow-in-Furness,75,150,285,65,30,150,30,165,55,20,30,480,215,5,25,80,135,1,E07000027,14,135,357,40,22,114,35,103,100,22,45,409,330,3,26,59,206
E07000028,Carlisle,815,210,565,190,135,295,280,325,130,360,165,420,245,25,75,175,265,1,E07000028,106,259,499,108,112,208,207,222,199,84,208,571,347,1,75,137,387
E07000029,Copeland,470,105,250,60,30,130,55,205,60,10,30,600,260,15,45,85,155,1,E07000029,40,84,203,32,11,70,25,80,68,8,46,426,263,1,34,42,181
E07000030,Eden,"1,320",160,370,85,90,215,130,250,75,30,75,290,200,40,60,85,150,1,E07000030,121,134,282,53,56,129,79,130,105,32,89,312,156,1,43,77,204
E07000031,South Lakeland,"1,080",370,770,175,180,555,125,700,205,65,200,780,430,50,145,205,360,1,E07000031,104,368,713,110,117,391,74,423,307,91,248,789,405,4,129,123,611
E07000032,Amber Valley,290,385,680,170,185,350,195,275,200,75,135,640,310,20,75,190,285,1,E07000032,40,455,626,112,119,250,169,163,275,83,220,688,327,3,84,144,301
E07000033,Bolsover,100,195,325,105,100,190,140,135,75,55,100,305,270,15,40,75,140,1,E07000033,15,219,220,51,68,144,92,55,98,43,68,443,194,,41,50,164
E07000034,Chesterfield,35,325,435,175,200,320,140,255,165,75,100,430,240,5,60,185,195,1,E07000034,15,474,517,139,138,268,118,219,270,94,211,642,277,2,69,163,267
