E06000041,0.020950981435103894,1.8027516919918343,,5600,725,325,165,60,25,35
E06000042,0.11336050578006754,1.95696737217808,,7070,1025,480,300,120,80,60
E06000043,0.4035449853086551,1.5298042365210411,,8515,1330,605,300,80,35,25
E06000032,0.29689769908469593,1.896027233089304,,3435,565,305,145,50,35,45
E06000033,0.33395576873754385,1.6440252157541178,,4330,680,310,150,55,25,20
E06000034,0.31776446983226736,1.7084774561736977,,3215,515,240,110,40,35,15
E06000035,0.43224496244164967,1.6198045181637994,,4900,815,400,190,60,40,20
E06000036,-0.2035041233729158,2.092938336932771,,3215,405,180,105,35,30,35
E06000037,0.2303351723359383,1.7999734738202204,,6050,870,465,250,90,40,40
E06000044,0.6032564739693664,1.5952611926596318,,3355,655,320,160,50,30,20
E06000045,0.5895262791715509,1.6409622731175562,,3745,765,340,180,55,40,30
E06000046,0.851274973675435,1.3665267120236306,,2980,695,315,170,35,15,10
E06000047,0.6281391388145613,1.562373490771101,,8385,1705,720,425,145,65,40
E06000049,0.3818857012686385,1.6180986682794436,,12730,2035,950,500,135,70,60
E06000050,0.43475125007235704,1.6416105056177748,,8750,1545,650,355,125,70,45
E06000051,0.47961124249765746,1.4683304218948732,,10905,1895,750,330,90,75,25
E06000052,0.6945142482072558,1.4065109005489693,,15450,3085,1425,670,165,80,40
E06000053,0.9265405741080209,0.9393794715692351,,145,35,5,5,0,0,0
E06000054,0.34271699477974027,1.6204663298748496,,15285,2385,1100,515,180,85,65
E06000055,0.3384881943617634,1.704698866326234,,4200,685,305,165,60,30,25
E06000056,0.23096389827997482,1.6593802145862306,,8210,1190,510,280,75,45,35
E06000057,0.668706554922675,1.3892455459913806,,7390,1450,660,270,65,40,20
E07000004,0.19728284179515493,1.59259157927758,,6710,895,400,170,65,30,15
E07000005,-0.07712677692425278,1.715418472045157,,4490,525,190,105,40,15,15
E07000006,0.15769288310536012,1.7641205031559646,,3605,505,240,115,40,35,15
E07000007,0.13926697715309536,1.8285711035968781,,6550,900,455,245,85,60,35
E07000088,0.4866309722060828,1.5697491455894235,,1255,200,115,55,15,5,5
E07000089,-0.036243171887250146,1.7968541567762346,,3575,425,220,90,25,20,20
E07000090,0.33778684942751,1.6936128596743947,,2635,430,190,100,35,20,15
E07000091,0.4942189606667813,1.577716531150754,,5405,950,435,220,70,50,15
E07000092,0.44426422359144635,1.8745471179376783,,2000,365,180,120,30,30,25
E07000093,0.5275154097919875,1.5562383993835365,,3815,715,300,145,55,30,15
E07000094,0.6007033047003969,1.5694365119905906,,4720,845,515,210,60,35,25
E07000095,0.17990368127089312,1.7908914618784242,,2550,385,160,90,30,25,15
E07000096,0.13677281595152319,1.7157209470691956,,5200,715,315,155,50,30,25
E07000098,0.04344498616355306,1.860517085194492,,4170,560,260,130,55,35,25
E07000099,0.48908436761153123,1.533102880914263,,4315,710,355,175,50,25,10
E07000102,-0.04571023878525637,1.7950824506795022,,3395,415,165,105,35,15,15
E06000038,0.3323871941685218,1.8573691483527692,,4105,655,340,220,70,45,35
E07000008,0.42753595617806056,1.8611521323989548,,3065,560,280,145,50,60,30
E07000009,0.4240226093699111,1.5553345029761467,,2845,440,210,125,30,15,5
E07000010,0.46516949803048135,1.5529429776896784,,2385,415,170,90,30,20,5
E07000011,0.40644415540844636,1.6559310177426159,,5155,875,395,195,80,40,25
E07000012,0.3051202449989331,1.7674310103081332,,5330,805,450,210,85,40,35
E07000026,0.501452811445152,1.4939664958251246,,3095,545,220,120,30,15,10
E07000027,0.4397307416955087,1.653480523816792,,1250,205,100,65,15,10,5
