E07000085,4716,571,361,190,45,12,5
E07000103,2570,345,221,138,54,21,6
E07000105,4040,531,268,182,48,15,1
E07000106,3438,564,311,166,47,21,3
E07000107,2250,291,222,137,46,26,8
E07000108,2142,349,233,118,28,14,1
E07000109,2050,336,198,92,26,8,0
E07000110,4687,664,424,256,64,38,2
E07000111,4615,593,340,223,46,12,6
E07000112,2357,374,217,120,22,18,2
E07000113,2896,482,302,188,54,22,6
E07000114,2281,349,238,125,31,21,0
E07000115,3563,535,349,217,49,27,5
E07000116,4390,610,336,200,49,14,1
E07000117,1605,251,143,117,34,8,2
E07000118,2856,371,233,134,31,12,3
E07000119,2181,291,210,130,29,13,1
E07000120,1506,240,158,103,31,21,1
E07000121,2951,479,299,175,62,16,3
E07000122,1835,292,178,110,31,12,2
E07000123,3156,518,343,214,49,21,4
E07000124,2398,283,167,82,16,8,1
E07000125,1771,240,142,100,30,11,1
E07000126,2503,363,222,182,54,23,8
E07000127,2894,465,279,180,51,14,2
E07000128,2814,477,224,135,18,6,1
E07000129,2847,322,196,131,37,16,6
E07000130,3889,597,370,215,66,28,5
E07000131,3544,446,247,153,39,9,2
E07000132,3044,431,228,131,39,15,2
E07000133,1735,215,136,71,20,8,0
E07000134,2700,382,252,173,59,30,9
E07000135,1191,176,111,53,14,4,1
E07000136,1367,269,154,111,37,19,8
E07000137,3854,627,404,210,42,10,3
E07000138,1450,262,198,123,43,20,4
E07000139,3071,408,258,128,41,11,3
E07000140,2390,390,230,127,36,11,1
E07000141,3831,625,347,200,51,12,4
E07000142,2488,379,246,112,33,6,1
E07000143,3470,489,314,211,47,16,3
E07000144,3205,525,320,156,37,15,2
E07000145,1865,364,222,133,37,13,1
E07000146,3613,648,371,201,36,16,0
E07000147,2987,568,271,159,26,9,0
E07000148,2877,319,233,194,81,65,31
E07000149,3888,554,316,140,32,9,1
E07000150,983,184,108,94,29,20,7
E07000151,3178,410,197,116,18,7,4
E07000152,2683,322,187,134,34,13,2
E07000153,2304,304,194,126,41,16,0
E07000154,4612,656,483,319,108,58,14
E07000155,3794,445,233,124,36,5,3
E07000156,2002,293,178,140,42,22,3
E07000163,2451,343,185,120,38,17,6
E07000164,3709,539,340,160,22,4,1
E07000165,6013,930,597,306,81,20,3
E07000166,1948,316,165,69,11,1,0
E07000167,2582,364,205,119,21,4,0
E07000168,2748,520,333,155,47,12,0
E07000169,2520,340,157,97,32,6,3
E07000170,1724,291,197,142,54,26,6
E07000171,2484,442,221,166,33,19,5
E07000172,2078,293,187,96,14,11,6
E07000173,2259,309,198,115,36,10,3
E07000174,1567,328,192,126,37,9,1
E07000175,3094,519,305,170,30,11,1
