Companies House,2,4,10,10+,,ONS,,,,,total,,,,,,
E06000019,1564,1043,2173,2374,,E06000019,1000,775,2055,5590,9420,,3.97405090279288,3.19423674872383,3.01828430842653,3.33705972632052,3.37548071461857
E06000020,1260,755,1326,1403,,E06000020,710,510,1080,1870,4170,,3.62013605497376,3.10037054511756,2.87794695162919,3.12254352406875,3.14705767102836
E06000021,1935,1011,1806,2121,,E06000021,790,625,1325,2330,5070,,3.70500795933334,3.28668096935493,3.004751155591,3.25671774597749,3.32654066851656
E06000022,2392,1514,2813,3461,,E06000022,1000,855,1895,3400,7150,,3.85430604180108,3.37876117531637,3.18012587516405,3.4491697321652,3.53920159929413
E06000023,7919,4065,7128,7795,,E06000023,2710,2030,3935,5520,14195,,4.15213539686188,3.89867034296553,3.60906054993009,3.85296769102882,3.89181611952486
E06000024,2026,1319,2393,2544,,E06000024,1135,925,1970,3290,7320,,3.86451108105839,3.30663944102426,3.12024479554636,3.37894269861344,3.40551710697638
E06000025,2600,1717,3158,3051,,E06000025,1390,1060,2270,3665,8385,,3.9235030669421,3.41497334797082,3.23477029516092,3.49941212567228,3.48444220764241
E06000026,1884,1110,1844,1862,,E06000026,920,655,1405,1995,4975,,3.69679308508174,3.27508089845686,3.04532297878666,3.26576091671761,3.26997967664532
E06000027,1493,768,1532,1583,,E06000027,485,355,1025,1655,3520,,3.54654266347813,3.17405980772503,2.88536122003151,3.18525876529658,3.19948091486236
E06000028,2984,1603,2657,3067,,E06000028,975,810,1550,2095,5430,,3.73479982958885,3.47479881880063,3.20493352235414,3.42439155441028,3.48671377598249
E06000029,3551,2233,2727,2501,,E06000029,845,705,1500,2210,5260,,3.72098574415374,3.55035067230161,3.34888872307144,3.43568513794163,3.3981136917305
E06000030,2319,1370,2296,2205,,E06000030,1125,865,1510,2165,5665,,3.75319991419942,3.36530074863799,3.13672056715641,3.36097188372594,3.34340859380386
E06000031,2009,1049,1770,1776,,E06000031,915,665,1355,2070,5005,,3.69940408181534,3.30297993674825,3.02077548819356,3.24797326636181,3.24944296144258
E06000032,3300,1397,2016,2007,,E06000032,1035,720,1225,1695,4675,,3.66978161520854,3.51851393987789,3.14519640611418,3.30449052777349,3.30254737248748
E06000033,3551,2280,3897,3783,,E06000033,1085,810,1565,2175,5635,,3.75089392038212,3.55035067230161,3.35793484700045,3.59073040579269,3.57783634129274
E06000034,2909,2295,1741,1097,,E06000034,915,705,1130,1510,4260,,3.62940959910272,3.46374372124706,3.36078268987328,3.24079877111733,3.04020662757471
E06000035,3011,1542,2597,2314,,E06000035,1275,865,1760,2575,6475,,3.81123977275329,3.47871075551276,3.18808437371494,3.4144719496293,3.36436335461573
E06000036,1334,809,1404,1910,,E06000036,725,585,1185,1510,4005,,3.60260252042026,3.12515582958053,2.90794852161227,3.14736710779379,3.28103336724773
E06000037,3070,2154,4295,3612,,E06000037,1355,1015,2075,3455,7900,,3.89762709129044,3.48713837547719,3.33324569896196,3.63296316816726,3.55774774164147
E06000038,2670,1622,2561,2753,,E06000038,1290,885,1455,1945,5575,,3.7462448717202,3.42651126136457,3.21005084987514,3.40840957846843,3.43980621139333
E06000039,2903,1526,1857,1765,,E06000039,1150,705,1055,1315,4225,,3.62582671328571,3.46284703583167,3.18355453361886,3.26881190373978,3.24674470972384
E06000040,2887,1838,3224,4052,,E06000040,1500,1115,2225,3205,8045,,3.90552604843505,3.46044678388072,3.26434550705009,3.50839503313305,3.60766943668824
E06000041,2094,1505,2510,2516,,E06000041,1285,1000,1980,2780,7045,,3.84788099744537,3.32097667734282,3.17753649992986,3.39967372148104,3.40071063677323
E06000042,5150,2826,4136,3716,,E06000042,2010,1490,2595,3350,9445,,3.97520196225785,3.71180722904119,3.45117215751254,3.61658053008589,3.5700757053216
E06000043,7159,4338,5980,6101,,E06000043,2095,1715,3335,3945,11090,,4.04493154614916,3.85485236241783,3.63728954767817,3.77670118398841,3.78540102499239
E06000044,3204,1315,2033,1889,,E06000044,870,675,1195,1850,4590,,3.66181268553726,3.5056925074122,3.11892575282578,3.30813737863804,3.27623195792183
E06000045,2470,1434,2410,2642,,E06000045,985,735,1380,2095,5195,,3.7155855518932,3.39269695325967,3.15654915133178,3.38201704257487,3.42193281327851
E06000046,950,591,1357,1577,,E06000046,515,400,1120,2090,4125,,3.61542395288594,2.97772360528885,2.77158748088125,3.13257984765974,3.1978316933289
E06000047,3085,2032,3182,2549,,E06000047,1685,1260,3040,5445,11430,,4.05804623039528,3.48925516836926,3.30792370361188,3.50270017531056,3.40636983546927
E06000049,7049,3633,6353,6062,,E06000049,2705,2160,4540,7305,16710,,4.22297644989339,3.84812751056787,3.56026539786271,3.80297885533526,3.7826159320316
E06000050,3875,2349,4442,3872,,E06000050,1970,1470,3150,5040,11630,,4.06557971472845,3.58827170684233,3.37088301677761,3.64757855421245,3.58793534863636
E06000051,2914,2017,3841,3775,,E06000051,1540,1300,3260,8085,14185,,4.15182934013187,3.46448954743397,3.30470589821276,3.58444430716518,3.57691695596521
E06000052,4187,2577,4849,4884,,E06000052,2400,1900,5020,11680,21000,,4.32221929473392,3.62190296089123,3.4111144185509,3.68565218411552,3.68877565527284
E06000053,9,4,8,26,,E06000053,15,10,45,120,190,,2.27875360095283,0.954242509439325,0.602059991327962,0.903089986991943,1.41497334797082
E06000054,4894,3215,6184,6261,,E06000054,2825,2205,5230,9480,19740,,4.29534714833362,3.68966396501577,3.50718097726024,3.79126948091027,3.79664370378512
E06000055,2158,1266,2214,2292,,E06000055,915,670,1445,2480,5510,,3.74115159885178,3.33405144034689,3.10243370568134,3.3451776165427,3.36021461329535
E06000056,3127,1990,3442,3744,,E06000056,1775,1265,2820,4595,10455,,4.01932403715369,3.49512788124293,3.29885307640971,3.53681086599154,3.57333584006607
