CompanyNumber,Date,OldPostcode,NewPostcode,OldLocalAuthority,NewLocalAuthority,RegisteredStaff,IncorperationDate,NFiles
04587948,2007-12-04,SW1V 1BZ,SW1V 1BZ,E09000033,E09000033,1,2002-11-12,11
04587948,2007-12-04,SW1V 1BZ,WC2R 0DZ,E09000033,E09000033,1,2002-11-12,11
04587948,2010-09-13,WC2R 0DZ,WC2E 9HA,E09000033,E09000033,2,2002-11-12,27
04587948,2012-07-09,WC2E 9HA,WC1H 0JR,E09000033,E09000007,2,2002-11-12,35
04587948,2016-06-23,WC1H 0JR,PE15 8AQ,E09000007,E07000010,2,2002-11-12,45
05740673,2006-03-29,EN1 1QU,B75 6BT,E09000010,E08000025,2,2006-03-13,6
05740673,2007-09-03,B75 6BT,WS12 1RB,E08000025,E07000192,4,2006-03-13,10
03864414,1999-10-26,CF14 3LX,B30 3HB,W06000015,E08000025,1,1999-10-25,5
02807600,1993-04-23,HA1 3DL,SG5 1TD,E09000015,E07000099,1,1993-04-07,4
02807600,2003-03-22,SG5 1TD,SG16 6DP,E07000099,E06000056,1,1993-04-07,23
02807600,2008-09-24,SG16 6DP,OX2 9NP,E06000056,E07000180,1,1993-04-07,34
08676610,2014-02-04,BN21 2DE,EC1R 0LU,E07000061,E09000019,1,2013-09-04,3
05307502,2010-05-11,M7 4AS,M25 9JY,E08000006,E08000002,1,2004-12-08,16
01130185,2008-01-11,W2 5ES,NW10 7PA,E09000033,E09000009,1,1973-08-21,57
05857746,2010-09-29,WD18 7GG,WD3 1ET,E07000103,E07000102,1,2006-06-26,10
05857746,2014-06-25,WD3 1ET,E14 9XQ,E07000102,E09000030,1,2006-06-26,22
06426765,2008-06-10,LS6 2SL,LS11 9RT,E08000035,E08000035,1,2007-11-14,2
06426765,2009-09-18,LS11 9RT,LS7 2BB,E08000035,E08000035,1,2007-11-14,7
06426765,2012-09-20,LS7 2BB,LS19 7EW,E08000035,E08000035,1,2007-11-14,17
06426765,2018-07-04,LS19 7EW,LS25 1NB,E08000035,E08000035,1,2007-11-14,30
07482006,2014-01-24,HA9 0NP,TW3 1QL,E09000005,E09000018,1,2011-01-04,9
07228830,2010-07-02,EN4 8RR,AL1 4RT,E09000003,E07000240,1,2010-04-20,2
08938625,2015-08-19,EC2V 8AS,EC1M 6HR,E09000001,E09000019,1,2014-03-13,3
07833756,2012-09-14,BA1 2YF,BS15 4AA,E06000022,E06000025,1,2011-11-03,3
00781964,1990-02-13,W2 2AF,HA4 0DR,E09000033,E09000017,1,1986-07-18,9
00781964,2014-04-24,HA4 0DR,LE1 7GS,E09000017,E06000016,1,1986-07-18,78
00781964,2015-06-24,LE1 7GS,LE1 7GD,E06000016,E06000016,1,1986-07-18,83
00781964,2016-09-05,LE1 7GD,LE2 5YF,E06000016,E07000135,1,1986-07-18,85
00781964,2016-09-19,LE2 5YF,LE2 5YF,E07000135,E07000135,1,1986-07-18,86
07830669,2015-11-30,B2 5DJ,B4 6AA,E08000025,E08000025,1,2011-11-01,19
07151913,2012-01-24,M12 6HS,HD2 2RB,E08000003,E08000034,1,2010-02-09,5
NI613482,2015-11-25,BT34 3WL,BT34 1QH,N09000010,N09000010,1,2012-07-04,11
04063745,2000-09-07,LS1 2DS,WF15 7BE,E08000035,E08000034,2,2000-09-01,6
04063745,2007-09-07,WF15 7BE,WF15 7DB,E08000034,E08000034,2,2000-09-01,23
07684272,2014-01-06,E13 8DD,ME10 2TG,E09000025,E07000113,1,2011-06-27,6
07684272,2014-01-06,ME10 2TG,ME10 2TG,E07000113,E07000113,1,2011-06-27,6
09792049,2017-09-21,OX1 3LE,PE11 3SE,E07000178,E07000140,1,2015-09-23,7
09292717,2016-11-09,CT9 4GS,CT12 5FD,E07000114,E07000114,1,2014-11-03,4
09455224,2017-11-08,W2 1HY,RM9 4EA,E09000033,E09000002,1,2015-02-24,10
09455224,2017-11-08,RM9 4EA,RM9 4EA,E09000002,E09000002,1,2015-02-24,10
09069260,2017-09-07,PE29 2AQ,PE28 0QR,E07000011,E07000011,1,2014-06-03,7
07239277,2012-10-30,EC4A 3JB,EC4M 7RF,E09000001,E09000001,1,2010-04-29,5
07239277,2015-05-26,EC4M 7RF,EC4M 7RF,E09000001,E09000001,1,2010-04-29,18
00911607,1994-05-25,NN6 9UA,NN6 9UA,E07000151,E07000151,2,1967-07-26,39
00911607,1999-07-05,NN6 9UA,NN4 7EX,E07000151,E07000154,5,1967-07-26,69
00911607,2006-12-14,NN4 7EX,NN1 5AJ,E07000154,E07000154,4,1967-07-26,90
00911607,2008-11-24,NN1 5AJ,OX16 9BE,E07000154,E07000177,4,1967-07-26,98
06733058,2011-12-14,BR1 2ND,DA14 4DT,E09000006,E09000004,2,2008-10-24,11
06733058,2014-12-04,DA14 4DT,DA14 4DT,E09000004,E09000004,2,2008-10-24,21
