E07000120,1450,264,171,128,29,18,0
E07000121,2977,476,290,161,51,28,2
E07000122,1869,278,160,107,24,18,4
E07000123,3082,521,382,226,62,28,4
E07000124,2348,317,172,99,13,5,1
E07000125,1775,235,171,75,20,15,4
E07000126,2504,355,250,155,62,24,5
E07000127,2851,493,315,172,39,13,2
E07000128,2843,412,259,118,31,9,3
E07000129,2850,298,218,118,46,22,3
E07000130,3871,605,373,230,71,19,1
E07000131,3551,428,258,151,31,20,1
E07000132,2987,432,251,160,41,16,3
E07000133,1720,222,126,88,25,3,1
E07000134,2722,355,262,169,57,32,8
E07000135,1142,203,111,73,12,7,2
E07000136,1360,216,184,144,34,21,6
E07000137,3755,691,438,213,45,7,1
E07000138,1438,239,205,148,40,25,5
E07000139,3049,417,240,149,40,22,3
E07000140,2401,373,238,136,30,4,3
E07000141,3837,589,389,199,44,10,2
E07000142,2494,391,234,120,18,8,0
E07000143,3465,510,321,184,49,16,5
E07000144,3190,538,285,187,38,22,0
E07000145,1863,346,220,154,45,6,1
E07000146,3644,636,391,176,24,12,2
E07000147,2937,539,320,177,36,10,1
E07000148,2912,302,211,196,88,61,30
E07000149,3909,544,279,163,38,7,0
E07000150,968,192,121,99,28,12,5
E07000151,3170,393,213,118,19,13,4
E07000152,2662,358,207,109,24,9,6
E07000153,2300,292,185,142,33,21,12
E07000154,4642,664,463,324,96,46,15
E07000155,3787,439,235,135,39,4,1
E07000156,1994,300,189,144,37,11,5
E07000163,2482,342,191,107,23,13,2
E07000164,3709,572,308,154,25,5,2
E07000165,6066,890,561,324,81,22,6
E07000166,1952,319,175,53,9,2,0
E07000167,2598,354,215,97,22,8,1
E07000168,2736,547,321,170,27,13,1
E07000169,2493,351,185,91,24,9,2
E07000170,1712,305,211,139,43,28,2
E07000171,2517,397,261,145,37,10,3
E07000172,2047,291,196,115,24,10,2
E07000173,2238,320,194,130,29,16,3
E07000174,1589,309,212,110,30,10,0
E07000175,3114,491,309,157,47,8,4
E07000176,3334,380,263,156,36,15,1
E07000177,4600,620,392,257,77,37,7
E07000192,2222,353,242,132,33,11,2
E07000178,2951,459,290,204,92,45,24
E07000179,5770,718,403,228,72,26,3
E07000180,3847,580,335,227,70,28,8
E07000181,3943,578,347,182,43,8,4
E07000187,3948,573,342,168,37,20,2
E07000188,3396,544,291,149,37,7,1
E07000189,5084,687,399,255,54,32,4
E07000190,3233,401,263,179,65,30,9
E07000191,1307,209,98,35,6,0,0
E07000193,3015,414,283,194,37,16,6
E07000194,3228,444,277,161,35,18,2
E07000195,2214,367,249,139,39,19,3
E07000196,2898,402,261,108,21,10,0
E07000197,3510,539,331,182,38,16,4
E07000198,2996,389,198,88,10,4,0
E07000199,1395,249,178,106,29,11,2
E07000200,3000,421,247,135,22,7,3
E07000201,1567,294,173,111,19,11,0
E07000202,2392,396,267,170,61,27,12
E07000203,3622,452,259,156,30,13,3
E07000204,2988,471,294,203,58,18,8
E07000205,3691,596,353,216,57,26,1
E07000206,2464,444,265,132,41,18,1
E07000207,6005,614,344,246,54,30,12
E07000208,2375,203,137,110,22,12,6
E07000209,4979,679,438,249,66,29,5
E07000210,3910,446,297,181,36,14,1
E07000211,4770,501,318,196,51,13,6
E07000212,2858,321,247,175,56,29,14
E07000213,2995,359,237,136,38,13,7
E07000214,3374,368,242,164,50,22,10
E07000215,3451,464,243,124,28,4,1
E07000216,5654,750,433,226,69,19,4
E07000217,3273,410,246,163,57,16,5
